product_name,product_price,product_images,product_hyperlinks
"(Refurbished) Samsung Galaxy Z Flip5 5G (Cream, 8GB RAM, 256GB Storage)",86864,https://m.media-amazon.com/images/I/71rMdsTWkmL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDUwMzgwNzY4ODM4MDkyOjE3MTIwNTEzODk6c3BfYXRmOjMwMDE1NTQ5ODU2MTQzMjo6MDo6&url=%2FRefurbished-Samsung-Galaxy-Flip5-Storage%2Fdp%2FB0CJPJ8ZH7%2Fref%3Dsr_1_1_sspa%3Fcrid%3DWTDJI4DAOHOJ%26dib%3DeyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY%26dib_tag%3Dse%26keywords%3Dsamsung%2Bmobiles%26qid%3D1712051389%26sprefix%3Dsamsung%2Bmobile%252Caps%252C215%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,12999,https://m.media-amazon.com/images/I/71tCOhEigtL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDUwMzgwNzY4ODM4MDkyOjE3MTIwNTEzODk6c3BfYXRmOjMwMDAyODEwMjAzMDYzMjo6MDo6&url=%2FRedmi-Jade-Black-6GB-128GB%2Fdp%2FB0C9JFWBH7%2Fref%3Dsr_1_2_sspa%3Fcrid%3DWTDJI4DAOHOJ%26dib%3DeyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY%26dib_tag%3Dse%26keywords%3Dsamsung%2Bmobiles%26qid%3D1712051389%26sprefix%3Dsamsung%2Bmobile%252Caps%252C215%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy M14 4G (Arctic Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger",8999,https://m.media-amazon.com/images/I/81juPhKSZJL._AC_UY218_.jpg,https://www.amazon.in/Samsung-5000mAh-Snapdragon-Processor-Security/dp/B0CV78R7FL/ref=sr_1_3?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-3
"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",13990,https://m.media-amazon.com/images/I/81ZSn2rk9WL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCR6TNK/ref=sr_1_4?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-4
"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",13700,https://m.media-amazon.com/images/I/818VqDSKpCL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSSNV7/ref=sr_1_5?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-5
"Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger",8999,https://m.media-amazon.com/images/I/913EiorAS0L._AC_UY218_.jpg,https://www.amazon.in/Samsung-Sapphire-Snapdragon-Processor-Security/dp/B0CV7KZLL4/ref=sr_1_6?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-6
"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",13990,https://m.media-amazon.com/images/I/81pmO0iVNhL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCSNTT4/ref=sr_1_7?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-7
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",8899,https://m.media-amazon.com/images/I/813sVzTfvaL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Storage-MediaTek-Octa-core-Processor/dp/B0BMGC6LHP/ref=sr_1_8?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-8
"Samsung Galaxy M14 5G (Berry Blue,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",12490,https://m.media-amazon.com/images/I/81pmO0iVNhL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Segments-Smartphone-Octa-Core-Processor/dp/B0BZCWLJHK/ref=sr_1_9_pp?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-9
"Samsung Galaxy M34 5G (Midnight Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger",,https://m.media-amazon.com/images/I/91fonhAtoAL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Midnight-sAMOLED-Display-Security/dp/B0C7C2FCY5/ref=sr_1_10_pp?crid=WTDJI4DAOHOJ&dib=eyJ2IjoiMSJ9.urohL2km_b63T36Wq3YoqcXWRZdGqLatJ-CrmP0jueQSG6mGv6COA96WQO1p19vhN0q7upElwwNUDq3bcpyFzTa8JrO1CXNAlFqwxZyUqdyLzEIlJ9aqJsn42tVGvfZSVuh_JoCS-zawQGSoAbjymMp150GKDLteS2tRTTOFu7yeHhFL3Nv-XxlaiDM1pUiWr0E7bnlCY2noiLf4oQ7PQ3ZaeMDrddyTbMQLFSMurG0.hsxadK2Xc_lSmd9DXqA4F-eNLVIL1emKuBFTRjjvZsY&dib_tag=se&keywords=samsung+mobiles&qid=1712051389&sprefix=samsung+mobile%2Caps%2C215&sr=8-10
